impl,grid_size,num_thread,seconds
seq,256,2,0.070663
seq,256,4,0.070663
seq,256,8,0.070663
seq,256,16,0.070663
seq,256,32,0.070663
seq,256,1,0.070132
seq,256,2,0.070132
seq,256,4,0.070132
seq,256,8,0.070132
seq,256,16,0.070132
seq,256,32,0.070132
seq,256,1,0.066415
seq,256,2,0.066415
seq,256,4,0.066415
seq,256,8,0.066415
seq,256,16,0.066415
seq,256,32,0.066415
seq,256,1,0.062654
seq,256,2,0.062654
seq,256,4,0.062654
seq,256,8,0.062654
seq,256,16,0.062654
seq,256,32,0.062654
seq,256,1,0.062265
seq,256,2,0.062265
seq,256,4,0.062265
seq,256,8,0.062265
seq,256,16,0.062265
seq,256,32,0.062265
seq,256,1,0.062039
seq,256,2,0.062039
seq,256,4,0.062039
seq,256,8,0.062039
seq,256,16,0.062039
seq,256,32,0.062039
seq,256,1,0.070563
seq,256,2,0.070563
seq,256,4,0.070563
seq,256,8,0.070563
seq,256,16,0.070563
seq,256,32,0.070563
seq,256,1,0.070134
seq,256,2,0.070134
seq,256,4,0.070134
seq,256,8,0.070134
seq,256,16,0.070134
seq,256,32,0.070134
seq,256,1,0.069701
seq,256,2,0.069701
seq,256,4,0.069701
seq,256,8,0.069701
seq,256,16,0.069701
seq,256,32,0.069701
seq,256,1,0.068152
seq,256,2,0.068152
seq,256,4,0.068152
seq,256,8,0.068152
seq,256,16,0.068152
seq,256,32,0.068152
seq,256,1,0.062776
seq,256,2,0.062776
seq,256,4,0.062776
seq,256,8,0.062776
seq,256,16,0.062776
seq,256,32,0.062776
seq,256,1,0.070261
seq,256,2,0.070261
seq,256,4,0.070261
seq,256,8,0.070261
seq,256,16,0.070261
seq,256,32,0.070261
seq,256,1,0.069135
seq,256,2,0.069135
seq,256,4,0.069135
seq,256,8,0.069135
seq,256,16,0.069135
seq,256,32,0.069135
seq,256,1,0.061442
seq,256,2,0.061442
seq,256,4,0.061442
seq,256,8,0.061442
seq,256,16,0.061442
seq,256,32,0.061442
seq,256,1,0.069023
seq,256,2,0.069023
seq,256,4,0.069023
seq,256,8,0.069023
seq,256,16,0.069023
seq,256,32,0.069023
seq,256,1,0.070339
seq,256,2,0.070339
seq,256,4,0.070339
seq,256,8,0.070339
seq,256,16,0.070339
seq,256,32,0.070339
seq,256,1,0.070019
seq,256,2,0.070019
seq,256,4,0.070019
seq,256,8,0.070019
seq,256,16,0.070019
seq,256,32,0.070019
seq,256,1,0.068624
seq,256,2,0.068624
seq,256,4,0.068624
seq,256,8,0.068624
seq,256,16,0.068624
seq,256,32,0.068624
seq,256,1,0.068161
seq,256,2,0.068161
seq,256,4,0.068161
seq,256,8,0.068161
seq,256,16,0.068161
seq,256,32,0.068161
seq,256,1,0.061413
seq,256,2,0.061413
seq,256,4,0.061413
seq,256,8,0.061413
seq,256,16,0.061413
seq,256,32,0.061413
seq,256,1,0.069495
seq,256,2,0.069495
seq,256,4,0.069495
seq,256,8,0.069495
seq,256,16,0.069495
seq,256,32,0.069495
seq,256,1,0.069613
seq,256,2,0.069613
seq,256,4,0.069613
seq,256,8,0.069613
seq,256,16,0.069613
seq,256,32,0.069613
