impl,array_size,num_process,count,mean,std,95_confidence_interval_min,95_confidence_interval_max
custom_bcast,32768,16,30,0.006559266666666666,0.004947826056467372,0.00623600869764413,0.006882524635689201
custom_bcast,32768,32,30,0.014526766666666666,0.005652369797084097,0.014157478506590505,0.014896054826742828
custom_bcast,65536,1,30,1.4666666666666662e-06,1.4793599112881347e-06,1.370015152462508e-06,1.5633181808708244e-06
custom_bcast,65536,2,30,0.00024373333333333334,0.00013441673062258418,0.00023495144026599118,0.00025251522640067553
custom_bcast,65536,4,30,0.0017788,0.0031942097549504615,0.0015701116293432367,0.0019874883706567635
custom_bcast,65536,8,30,0.0039976,0.00348530660205739,0.0037698933019989166,0.004225306698001082
custom_bcast,65536,16,30,0.008116666666666666,0.003282546313283421,0.007902206974198816,0.008331126359134517
custom_bcast,65536,32,30,0.021664099999999995,0.007088732702993023,0.02120096946340445,0.02212723053659554
custom_bcast,131072,1,30,1.0000000000000002e-06,2.15378297961567e-22,1.0000000000000002e-06,1.0000000000000002e-06
custom_bcast,131072,2,30,0.00037866666666666664,6.159116222614911e-05,0.00037464271073455824,0.00038269062259877504
custom_bcast,131072,4,30,0.0026653666666666665,0.00398846097259144,0.0024047872164573592,0.0029259461168759738
custom_bcast,131072,8,30,0.005770766666666666,0.003432493912728694,0.005546510397701725,0.005995022935631608
custom_bcast,131072,16,30,0.0183182,0.008926410269724796,0.01773500786237798,0.01890139213762202
custom_bcast,131072,32,30,0.0320125,0.00525949204148868,0.03166887985328941,0.03235612014671059
