impl,grid_size,num_thread,count,mean,std,95_confidence_interval_min,95_confidence_interval_max
omp,4096,1,30,17.166690000000003,0.0170405231828374,17.165576685818724,17.16780331418128
omp,4096,2,30,8.650912533333333,0.0357946094157066,8.64857395218484,8.653251114481826
omp,4096,4,30,4.6500054,0.1754783306558548,4.638540815730485,4.661469984269516
omp,4096,8,30,4.648441066666667,0.04555874637926909,4.645464561903221,4.6514175714301125
omp,4096,16,30,4.758296166666667,0.18001689075043495,4.746535063137638,4.770057270195696
omp,4096,32,30,4.670902766666667,0.028150068886647277,4.669063628832739,4.672741904500595
pth,32,1,30,0.0023312333333333334,0.00023426461362186627,0.0023159280452433716,0.002346538621423295
pth,32,2,30,0.0021140666666666667,0.00011479334755846334,0.0021065668346261805,0.002121566498707153
pth,32,4,30,0.0029203999999999996,0.00032101891661954476,0.0028994267641141895,0.0029413732358858097
pth,32,8,30,0.0065596000000000005,0.0003684483400835792,0.006535528041781207,0.006583671958218794
pth,32,16,30,0.014001233333333335,0.0005141323915996287,0.013967643350415492,0.014034823316251178
pth,32,32,30,0.028691299999999993,0.0008589761407308276,0.028635180225472245,0.02874741977452774
pth,64,1,30,0.005309066666666667,0.0001513381537538013,0.005299179240621418,0.005318954092711915
pth,64,2,30,0.0037054333333333333,0.00011104074534348537,0.0036981786713042256,0.003712687995362441
pth,64,4,30,0.0037732000000000004,0.0002693061839053369,0.003755605329318185,0.0037907946706818157
pth,64,8,30,0.007350166666666667,0.00038898631155184966,0.007324752894311946,0.007375580439021388
pth,64,16,30,0.017547800000000002,0.012776522529961767,0.016713067194709167,0.018382532805290838
pth,64,32,30,0.033016366666666665,0.010672899497723463,0.03231907056614873,0.0337136627671846
pth,128,1,30,0.019523500000000003,0.002781859781661827,0.019341751827598095,0.01970524817240191
pth,128,2,30,0.01020806666666667,0.00033135582846461486,0.010186418085873648,0.010229715247459692
pth,128,4,30,0.006885933333333333,0.00018714846279474704,0.006873706300430742,0.006898160366235923
pth,128,8,30,0.011530733333333331,0.00035433073711487107,0.01150758372517516,0.011553882941491503
pth,128,16,30,0.01714973333333333,0.00037302731094739354,0.017125362215684767,0.017174104450981893
pth,128,32,30,0.029346166666666666,0.0007708456209023747,0.02929580475276771,0.02939652858056562
pth,256,1,30,0.08391070000000003,0.008785721571253334,0.08333669952401149,0.08448470047598858
pth,256,2,30,0.03767656666666667,0.005715702525278171,0.037303140768348494,0.03804999256498484
pth,256,4,30,0.019533866666666667,0.00045609396591834685,0.019504068527560002,0.01956366480577333
pth,256,8,30,0.0256987,0.002216686719034701,0.025553876467689734,0.02584352353231027
