number_if,array_size,num_thread,seconds
0,32752,128,0.0091
0,32752,128,0.0088
0,32752,128,0.0088
0,32752,128,0.0088
0,32752,128,0.0086
0,32752,128,0.0086
0,32752,128,0.0092
0,32752,128,0.0094
0,32752,128,0.0086
0,32752,128,0.0091
0,32752,128,0.0086
0,32752,128,0.0089
0,32752,128,0.0084
0,32752,128,0.0095
0,32752,128,0.0082
0,32752,128,0.0088
0,32752,128,0.01
0,32752,128,0.0101
0,32752,128,0.0094
0,32752,128,0.0082
0,32752,128,0.0084
0,32752,128,0.0085
0,32752,128,0.0087
0,32752,128,0.0094
0,32752,128,0.008
0,32752,128,0.0085
0,32752,128,0.0094
0,32752,128,0.0092
0,32752,128,0.0091
0,32752,128,0.0087
0,32752,256,0.0096
0,32752,256,0.0098
0,32752,256,0.0102
0,32752,256,0.01
0,32752,256,0.0097
0,32752,256,0.0092
0,32752,256,0.0097
0,32752,256,0.01
0,32752,256,0.0097
0,32752,256,0.0096
0,32752,256,0.0117
0,32752,256,0.0098
0,32752,256,0.0103
0,32752,256,0.0101
0,32752,256,0.0102
0,32752,256,0.0103
0,32752,256,0.0103
0,32752,256,0.0112
0,32752,256,0.0097
0,32752,256,0.0101
0,32752,256,0.0106
0,32752,256,0.01
0,32752,256,0.01
0,32752,256,0.01
0,32752,256,0.01
0,32752,256,0.01
0,32752,256,0.0101
0,32752,256,0.01
0,32752,256,0.0105
0,32752,256,0.0104
0,32752,512,0.012
0,32752,512,0.0119
0,32752,512,0.013
0,32752,512,0.0122
0,32752,512,0.0131
0,32752,512,0.0128
0,32752,512,0.0119
0,32752,512,0.0123
0,32752,512,0.0134
0,32752,512,0.0131
0,32752,512,0.0121
0,32752,512,0.0121
0,32752,512,0.0121
0,32752,512,0.0125
0,32752,512,0.0133
0,32752,512,0.0125
0,32752,512,0.0119
0,32752,512,0.0129
0,32752,512,0.0128
0,32752,512,0.0126
0,32752,512,0.0125
0,32752,512,0.0123
0,32752,512,0.012
0,32752,512,0.0124
0,32752,512,0.0139
0,32752,512,0.0121
0,32752,512,0.012
0,32752,512,0.0127
0,32752,512,0.012
0,32752,512,0.0123
0,32752,1024,0.0208
0,32752,1024,0.0214
0,32752,1024,0.0218
0,32752,1024,0.0211
0,32752,1024,0.0209
0,32752,1024,0.0209
0,32752,1024,0.022
0,32752,1024,0.0209
0,32752,1024,0.0208
0,32752,1024,0.0208
0,32752,1024,0.0206
0,32752,1024,0.0217
0,32752,1024,0.0207
0,32752,1024,0.0216
0,32752,1024,0.0213
0,32752,1024,0.0213
0,32752,1024,0.0216
0,32752,1024,0.0205
0,32752,1024,0.0212
0,32752,1024,0.0212
0,32752,1024,0.021
0,32752,1024,0.0217
0,32752,1024,0.0215
0,32752,1024,0.0213
0,32752,1024,0.0207
0,32752,1024,0.0211
0,32752,1024,0.0217
0,32752,1024,0.0208
0,32752,1024,0.0204
0,32752,1024,0.0208
0,32752,2048,0.0441
0,32752,2048,0.044
0,32752,2048,0.0443
0,32752,2048,0.0433
0,32752,2048,0.0434
0,32752,2048,0.044
0,32752,2048,0.044
0,32752,2048,0.0444
0,32752,2048,0.0431
0,32752,2048,0.043
0,32752,2048,0.044
0,32752,2048,0.0442
0,32752,2048,0.0438
0,32752,2048,0.0434
0,32752,2048,0.0449
0,32752,2048,0.0438
0,32752,2048,0.0442
0,32752,2048,0.0442
0,32752,2048,0.0447
0,32752,2048,0.0447
0,32752,2048,0.043
0,32752,2048,0.0434
0,32752,2048,0.0451
0,32752,2048,0.0432
0,32752,2048,0.0445
0,32752,2048,0.0444
0,32752,2048,0.0435
0,32752,2048,0.044
0,32752,2048,0.0438
0,32752,2048,0.0443
0,32752,8192,0.1679
0,32752,8192,0.1664
0,32752,8192,0.17
0,32752,8192,0.1675
0,32752,8192,0.1692
0,32752,8192,0.1688
0,32752,8192,0.1671
0,32752,8192,0.169
0,32752,8192,0.1687
0,32752,8192,0.1713
0,32752,8192,0.1691
0,32752,8192,0.1676
0,32752,8192,0.1711
0,32752,8192,0.1669
0,32752,8192,0.167
0,32752,8192,0.1688
0,32752,8192,0.1701
0,32752,8192,0.1678
0,32752,8192,0.167
0,32752,8192,0.1698
0,32752,8192,0.1666
0,32752,8192,0.1683
0,32752,8192,0.168
0,32752,8192,0.1729
0,32752,8192,0.1692
0,32752,8192,0.1684
0,32752,8192,0.169
0,32752,8192,0.1923
0,32752,8192,0.1676
0,32752,8192,0.1691
0,32752,32752,0.673
0,32752,32752,0.6914
0,32752,32752,0.7326
0,32752,32752,0.6756
0,32752,32752,0.7192
0,32752,32752,0.6831
0,32752,32752,0.6856
0,32752,32752,0.6743
0,32752,32752,0.6781
0,32752,32752,0.7203
0,32752,32752,0.6816
0,32752,32752,0.679
0,32752,32752,0.6785
0,32752,32752,0.6817
0,32752,32752,0.6809
0,32752,32752,0.6767
0,32752,32752,0.687
0,32752,32752,0.6736
0,32752,32752,0.6764
0,32752,32752,0.6752
0,32752,32752,0.6738
0,32752,32752,0.6773
0,32752,32752,0.679
0,32752,32752,0.6867
0,32752,32752,0.7158
0,32752,32752,0.6779
0,32752,32752,0.6753
0,32752,32752,0.6758
0,32752,32752,0.6776
0,32752,32752,0.7464
0,1048576,1,0.5219
0,1048576,1,0.5094
0,1048576,1,0.5187
0,1048576,1,0.5161
0,1048576,1,0.5161
0,1048576,1,0.5226
0,1048576,1,0.5195
0,1048576,1,0.5178
0,1048576,1,0.5225
0,1048576,1,0.514
0,1048576,1,0.5219
0,1048576,1,0.5189
0,1048576,1,0.5212
0,1048576,1,0.5172
0,1048576,1,0.5221
0,1048576,1,0.5175
0,1048576,1,0.5222
0,1048576,1,0.5144
0,1048576,1,0.5174
0,1048576,1,0.5127
0,1048576,1,0.5226
0,1048576,1,0.5191
0,1048576,1,0.5143
0,1048576,1,0.5261
0,1048576,1,0.5157
0,1048576,1,0.5186
0,1048576,1,0.5105
0,1048576,1,0.5176
0,1048576,1,0.5176
0,1048576,1,0.5193
0,1048576,2,0.2875
0,1048576,2,0.2717
0,1048576,2,0.2678
0,1048576,2,0.2793
0,1048576,2,0.2769
0,1048576,2,0.268
0,1048576,2,0.2719
